year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,79.6,78.8,78.2,78.5,80.1,79.1,78.4,75.7,78.4,79.3,78.9,80.1,78.3,77.3,75.2,76.7,78.6,79.4,79.2,79.6,79.9,?
3,68.1,67.9,66.9,68.3,68.5,67,66,64.7,67.4,68.4,69.1,68.7,66.3,64,63.3,66.4,68.6,69.3,68.7,69.3,?,?
4,60.6,59.8,59.7,60.2,59.6,58.5,58.2,57.6,60,61.4,61.2,60.2,56.7,55.5,56.5,59.9,61.6,61.9,61.5,?,?,?
5,54.3,54.1,53.4,53,53,52.7,52.8,52.3,54.8,55.3,54.5,52.6,49.8,50.2,51.7,54.8,56,56.3,?,?,?,?
6,49.6,48.8,48.1,47.6,48.1,48.2,48.2,48.1,50.1,50,48.4,46.8,45.4,46.4,47.8,50.1,51.4,?,?,?,?,?
7,45.2,44.4,43.9,43.7,44.4,44.4,44.7,44.2,45.9,44.8,43.7,43.2,42.3,43.1,44.2,46.3,?,?,?,?,?,?
8,41.5,40.7,40.5,40.5,41.2,41.4,41.6,40.9,41.8,40.9,40.5,40.5,39.6,40.1,41.1,?,?,?,?,?,?,?
9,38.3,38,37.8,37.7,38.7,38.6,38.6,37.4,38.4,38.1,38.2,38.2,37.1,37.5,?,?,?,?,?,?,?,?
10,35.7,35.7,35.4,35.6,36.2,36.1,35.5,34.5,36.1,36,36.1,35.9,34.9,?,?,?,?,?,?,?,?,?
11,33.6,33.4,33.4,33.5,34,33.2,32.9,32.4,34.2,34.2,34,33.8,?,?,?,?,?,?,?,?,?,?
12,31.8,31.6,31.5,31.5,31.5,31,31.2,30.9,32.5,32.3,32.1,?,?,?,?,?,?,?,?,?,?,?
13,30.3,29.9,29.7,29.3,29.5,29.4,29.8,29.5,30.8,30.8,?,?,?,?,?,?,?,?,?,?,?,?
14,28.7,28.4,28,27.6,28.1,28.2,28.6,28.1,29.4,?,?,?,?,?,?,?,?,?,?,?,?,?
15,27.2,26.6,26.3,26.2,26.9,27,27.3,26.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?
16,25.5,25.1,25.1,25.1,25.7,25.8,26.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
17,24.1,24,24.1,24.1,24.7,24.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
18,23,23,23.1,23.2,23.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
19,22,22.2,22.2,22.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
20,21.2,21.3,21.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
21,20.3,20.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
22,19.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Note: Dashes indicate not applicable.,,,,,,,,,,,,,,,,,,,,,,
